uid,cid,score
252963043984,1103952183194180000,1
252963043984,1103951619173540000,1
252963043984,1110420967782040000,1
252963043984,1110421684110440000,1
252963043984,1110421389968090000,1
252963043984,1120245765224690000,1
252963043984,1120246169517850000,1
252963043984,1120245955239240000,1
252963043984,1120245147529540000,1
252963043984,1103952834313740000,1
252963043984,1120245469698220000,1
252963043984,109124676426057,1
252963043984,1110424104534230000,1
252963043984,1103952461578530000,1
252963043984,1110423597321240000,1
252963043984,1110085576281510000,1
252963043984,1110084325871410000,1
252963043984,1110424441647220000,1
252963043984,262311263254202,1
252963043984,1130735388416210000,1
252963043984,1130735130697200000,1
252963043984,1110424735265280000,1
252963043984,1120229528100840000,1
252963043984,1130734121644110000,1
252963043984,1110084908250510000,1
252963043984,1120228625381750000,1
252963043984,1120231515634690000,1
252963043984,1120229035177840000,1
252963043984,1121018486627930000,1
252963043984,1110085247091550000,1
252963043984,1091167884245600000,1
252963043984,1120230078829720000,1
252963043984,829345566061647,1
252963043984,676750652190997,1
252963043984,747723489764820,1
252963043984,1090879855559880000,1
252963043984,1121017772304400000,1
252963043984,1130740749210670000,1
252963043984,304332462422859,1
252963043984,732677135367577,1
252963043984,392273309074596,1
252963043984,257267377578902,1
252963043984,543201322241873,1
252963043984,571052698950332,1
252963043984,107676233265247,1
252963043984,397775033859326,1
252963043984,1090868750674470000,1
252963043984,873286411048179,1
252963043984,181781449524482,1
252963043984,1130740952697320000,1
252963043984,355857158411161,1
252963043984,404268117066722,1
252963043984,627278399306608,1
252963043984,265811959529120,1
252963043984,1090884099021120000,1
252963043984,550769725396083,1
252963043984,1121018097723670000,1
252963043984,1095199849575740000,1
252963043984,1095200050545820000,1
252963043984,1095200237355920000,1
252963043984,203526847254044,1
252963043984,1130740469647720000,1
252963043984,193424784758523,1
252963043984,531061373214294,1
252963043984,588160917710662,1
252963043984,375943227089888,1
252963043984,857765537554179,1
252963043984,466074116962099,1
252963043984,110125104067963,1
252963043984,274174405517219,1
252963043984,297605457061534,1
252963043984,429761622501315,1
252963043984,469120986265243,1
252963043984,469779991050977,1
1355384477745,1103952183194180000,3
1355384477745,1103951619173540000,3
1355384477745,1110085576281510000,3
1355384477745,1110420967782040000,2
1355384477745,1110421684110440000,2
1355384477745,1110421389968090000,2
1355384477745,1120245765224690000,1
1355384477745,1120245955239240000,1
1355384477745,1120246169517850000,1
1355384477745,1120245147529540000,1
1355384477745,1120245469698220000,1
1355384477745,1103952834313740000,1
1355384477745,1110424104534230000,1
1355384477745,109124676426057,1
1355384477745,1110423597321240000,1
1355384477745,1110085247091550000,1
1355384477745,1103952461578530000,1
1355384477745,1130735388416210000,1
1355384477745,1110084325871410000,1
1355384477745,1110084908250510000,1
1355384477745,1130735130697200000,1
1355384477745,1110424441647220000,1
1355384477745,1130734121644110000,1
1355384477745,1110424735265280000,1
1355384477745,262311263254202,1
1355384477745,1120229528100840000,1
1355384477745,1120231515634690000,1
1355384477745,1120228625381750000,1
1355384477745,1121018486627930000,1
1355384477745,1120229035177840000,1
1355384477745,1120230078829720000,1
1355384477745,1130740749210670000,1
1355384477745,1121017772304400000,1
1355384477745,676750652190997,1
1355384477745,1090868750674470000,1
1355384477745,1090879855559880000,1
1355384477745,1091167884245600000,1
1355384477745,265811959529120,1
1355384477745,355857158411161,1
1355384477745,747723489764820,1
1355384477745,1130740952697320000,1
1355384477745,829345566061647,1
1355384477745,107676233265247,1
1355384477745,304332462422859,1
1355384477745,203526847254044,1
1355384477745,397775033859326,1
1355384477745,873286411048179,1
1355384477745,469120986265243,1
1355384477745,1130740469647720000,1
1355384477745,181781449524482,1
1355384477745,1121018097723670000,1
1355384477745,387972674693886,1
1355384477745,466074116962099,1
1355384477745,531061373214294,1
1355384477745,392273309074596,1
1355384477745,384638789468108,1
1355384477745,1090875090151060000,1
1355384477745,1090875270174780000,1
1355384477745,627278399306608,1
1355384477745,550769725396083,1
1355384477745,1090884099021120000,1
1355384477745,1095199849575740000,1
1355384477745,588160917710662,1
1355384477745,1095200050545820000,1
1355384477745,1095200237355920000,1
1355384477745,274174405517219,1
1355384477745,429761622501315,1
